Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
122,28,1,127,9,Some Random Commen with Id 122
123,28,1,190,1,Some Random Commen with Id 123
124,28,1,142,2,Some Random Commen with Id 124
125,28,1,80,1,Some Random Commen with Id 125
126,28,1,145,9,Some Random Commen with Id 126
127,29,8,27,8,Some Random Commen with Id 127
128,29,8,88,1,Some Random Commen with Id 128
129,29,8,199,3,Some Random Commen with Id 129
130,29,8,120,5,Some Random Commen with Id 130
131,29,8,32,9,Some Random Commen with Id 131
132,29,8,176,1,Some Random Commen with Id 132
133,29,8,119,9,Some Random Commen with Id 133
134,30,2,190,3,Some Random Commen with Id 134
135,30,2,109,9,Some Random Commen with Id 135
136,30,2,57,1,Some Random Commen with Id 136
137,30,2,125,4,Some Random Commen with Id 137
138,30,2,12,2,Some Random Commen with Id 138
139,30,2,30,1,Some Random Commen with Id 139
140,30,2,159,4,Some Random Commen with Id 140
141,30,2,98,0,Some Random Commen with Id 141
142,31,5,69,7,Some Random Commen with Id 142
143,31,5,174,7,Some Random Commen with Id 143
144,31,5,135,1,Some Random Commen with Id 144
145,31,5,50,6,Some Random Commen with Id 145
146,31,5,110,7,Some Random Commen with Id 146
147,31,5,35,4,Some Random Commen with Id 147
148,31,5,33,2,Some Random Commen with Id 148
149,31,5,142,4,Some Random Commen with Id 149
150,31,5,55,1,Some Random Commen with Id 150
151,32,1,77,4,Some Random Commen with Id 151
152,32,1,19,9,Some Random Commen with Id 152
153,32,1,142,7,Some Random Commen with Id 153
154,33,7,164,9,Some Random Commen with Id 154
155,33,7,180,1,Some Random Commen with Id 155
156,34,5,180,6,Some Random Commen with Id 156
157,35,6,143,7,Some Random Commen with Id 157
158,35,6,145,7,Some Random Commen with Id 158
159,35,6,111,2,Some Random Commen with Id 159
160,35,6,194,5,Some Random Commen with Id 160
161,35,6,178,0,Some Random Commen with Id 161
162,35,6,102,4,Some Random Commen with Id 162
163,35,6,61,2,Some Random Commen with Id 163
164,35,6,195,5,Some Random Commen with Id 164
165,36,9,36,3,Some Random Commen with Id 165
166,36,9,112,0,Some Random Commen with Id 166
167,36,9,85,0,Some Random Commen with Id 167
168,36,9,64,0,Some Random Commen with Id 168
169,36,9,45,8,Some Random Commen with Id 169
170,36,9,28,6,Some Random Commen with Id 170
171,36,9,84,8,Some Random Commen with Id 171
172,36,9,75,0,Some Random Commen with Id 172
173,37,2,86,6,Some Random Commen with Id 173
174,37,2,172,3,Some Random Commen with Id 174
175,37,2,118,3,Some Random Commen with Id 175
176,37,2,142,6,Some Random Commen with Id 176
177,37,2,88,0,Some Random Commen with Id 177
178,38,4,19,7,Some Random Commen with Id 178
179,38,4,92,9,Some Random Commen with Id 179
180,38,4,162,9,Some Random Commen with Id 180
181,38,4,17,1,Some Random Commen with Id 181
182,38,4,149,9,Some Random Commen with Id 182
183,38,4,71,7,Some Random Commen with Id 183
184,38,4,58,5,Some Random Commen with Id 184
185,39,8,41,7,Some Random Commen with Id 185
186,39,8,2,2,Some Random Commen with Id 186
187,39,8,141,6,Some Random Commen with Id 187
188,39,8,154,5,Some Random Commen with Id 188
189,39,8,6,5,Some Random Commen with Id 189
